ego,ego_name,alter,alter_name,relation,source
Q1026930,"Charles Lyttelton, 8th Viscount Cobham",Q16063121,"William Cavendish, 2nd Baron Chesham",indirect,rush
Q1026930,"Charles Lyttelton, 8th Viscount Cobham",Q2892622,"Oliver Lyttelton, 1st Viscount Chandos",niece/nephew;uncle/aunt,panel;rush
Q1026930,"Charles Lyttelton, 8th Viscount Cobham",Q3395941,Alfred Lyttelton,sibling,panel;rush
Q1026930,"Charles Lyttelton, 8th Viscount Cobham",Q3701723,"Richard Temple-Nugent-Brydges-Chandos-Grenville, 3rd Duke of Buckingham and Chandos",indirect,rush
Q1026930,"Charles Lyttelton, 8th Viscount Cobham",Q6245664,"John Lyttelton, 9th Viscount Cobham",child;parent,panel;rush
Q10288965,Lord George Paget,Q13582500,"Henry Paget, 2nd Marquess of Anglesey",sibling,panel
Q10288965,Lord George Paget,Q369723,Lord Alfred Paget,sibling,panel;rush
Q10288965,Lord George Paget,Q4733782,"Almeric Paget, 1st Baron Queenborough",uncle/aunt,panel
Q10288965,Lord George Paget,Q5498507,Frederick Paget,cousin,panel;rush
Q10288965,Lord George Paget,Q5726659,"Henry Paget, 3rd Marquess of Anglesey",niece/nephew;uncle/aunt,panel;rush
Q10288965,Lord George Paget,Q6679084,Clarence Paget,sibling,panel;rush
Q10288965,Lord George Paget,Q6680031,William Paget,sibling,panel;rush
Q10305110,"James Scarlett, 1st Baron Abinger",Q332738,"John Campbell, 1st Baron Campbell",indirect,rush
Q10305110,"James Scarlett, 1st Baron Abinger",Q333223,James Yorke Scarlett,child;parent,panel;rush
Q10305110,"James Scarlett, 1st Baron Abinger",Q7349602,"Robert Scarlett, 2nd Baron Abinger",child;parent,panel;rush
Q10305110,"James Scarlett, 1st Baron Abinger",Q8006488,"William Campbell, 2nd Baron Stratheden and Campbell",grandchild,rush
Q1063964,"Charles Cochrane-Baillie, 2nd Baron Lamington",Q3610747,"Alexander Baillie-Cochrane, 1st Baron Lamington",child;parent,panel;rush
Q1063964,"Charles Cochrane-Baillie, 2nd Baron Lamington",Q7791336,Thomas Cochrane,grandchild,panel
Q106618,Henry Campbell-Bannerman,Q6128517,James Alexander Campbell,sibling,panel;rush
Q10664,Neville Chamberlain,Q188999,Austen Chamberlain,sibling,panel;rush
Q10664,Neville Chamberlain,Q315999,Joseph Chamberlain,child;parent,panel;rush
Q10664,Neville Chamberlain,Q7324698,Richard Chamberlain,niece/nephew,panel
Q1066568,Charles Sibthorp,Q26292488,Gervaise Waldo-Sibthorp,child;parent,panel;rush
Q1086853,"Montague Woodhouse, 5th Baron Terrington",Q6145790,"James Woodhouse, 1st Baron Terrington",grandparent,rush
Q1086853,"Montague Woodhouse, 5th Baron Terrington",Q7920843,"Vera Woodhouse, Lady Terrington",indirect,rush
Q11283925,William Deedes,Q335420,Bill Deedes,indirect,rush
Q11283925,William Deedes,Q8007733,William Deedes,child;parent,panel;rush
Q11309157,"James Duff, 5th Earl Fife",Q332552,"Alexander Duff, 1st Duke of Fife",parent,panel
Q11309157,"James Duff, 5th Earl Fife",Q5544593,George Skene Duff,sibling,panel;rush
Q11309157,"James Duff, 5th Earl Fife",Q5590921,John Lewis Ricardo,indirect,rush
Q1147508,Evelyn Ashley,Q13529783,"Wilfrid Ashley, 1st Baron Mount Temple",child;parent,panel;rush
Q1147508,Evelyn Ashley,Q16066161,Anthony Henry Ashley-Cooper,niece/nephew,panel
Q1147508,Evelyn Ashley,Q22343752,Anthony John Ashley-Cooper,niece/nephew,panel
Q1147508,Evelyn Ashley,Q333294,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",child;parent,panel;rush
Q1147508,Evelyn Ashley,Q4772029,"Anthony Ashley-Cooper, 8th Earl of Shaftesbury",sibling,panel;rush
Q1149445,"Francis Egerton, 1st Earl of Ellesmere",Q4722620,Alfred Egerton,grandchild;grandparent,panel;rush
Q1149445,"Francis Egerton, 1st Earl of Ellesmere",Q4724140,Algernon Egerton,child;parent,panel;rush
Q1149445,"Francis Egerton, 1st Earl of Ellesmere",Q5480848,Francis Egerton,child;parent,panel;rush
Q1149445,"Francis Egerton, 1st Earl of Ellesmere",Q5537512,"George Byng, 3rd Earl of Strafford",indirect,rush
Q1149445,"Francis Egerton, 1st Earl of Ellesmere",Q5538925,"George Egerton, 2nd Earl of Ellesmere",child;parent,panel;rush
Q11722946,"Neil Carmichael, Baron Carmichael of Kelvingrove",Q6131039,James Carmichael,parent,rush
Q11722962,Ness Edwards,Q1866867,"Llin Golding, Baroness Golding",child,rush
Q11722962,Ness Edwards,Q6235638,John Golding,indirect,rush
Q11762579,Lord Henry Somerset,Q3784915,"Henry Somerset, 8th Duke of Beaufort",child,panel
Q11762579,Lord Henry Somerset,Q5082570,"Charles Somers-Cocks, 3rd Earl Somers",indirect,rush
Q11762579,Lord Henry Somerset,Q5538290,"George Curzon-Howe, 2nd Earl Howe",uncle/aunt,rush
Q11762579,Lord Henry Somerset,Q7235558,Poulett Somerset,indirect,rush
Q11762579,Lord Henry Somerset,Q922318,"Henry Somerset, 7th Duke of Beaufort",grandchild,panel
Q11771724,"Maurice Berkeley, 1st Baron FitzHardinge",Q333400,Grantley Berkeley,sibling,panel
Q11771724,"Maurice Berkeley, 1st Baron FitzHardinge",Q5075565,"Charles Berkeley, 3rd Baron FitzHardinge",parent,panel
Q11771724,"Maurice Berkeley, 1st Baron FitzHardinge",Q5182718,Craven Berkeley,sibling,panel;rush
Q11771724,"Maurice Berkeley, 1st Baron FitzHardinge",Q5480202,"Francis Berkeley, 2nd Baron FitzHardinge",parent,panel
Q11771724,"Maurice Berkeley, 1st Baron FitzHardinge",Q5607504,Grenville Berkeley,uncle/aunt,rush
Q11771724,"Maurice Berkeley, 1st Baron FitzHardinge",Q5721264,Henry FitzHardinge Berkeley,sibling,panel
Q11800391,Herbert Grotrian,Q5497413,Frederick Brent Grotrian,child;parent,panel;rush
Q11800502,William George Mount,Q7529701,"Sir William Mount, 1st Baronet",child;parent,panel;rush
Q11800502,William George Mount,Q8015892,William Mount,child,panel
Q11800905,John Tremayne,Q4800494,Arthur Tremayne,sibling,rush
Q11800905,John Tremayne,Q5080191,Charles Lemon,uncle/aunt,rush
Q11800905,John Tremayne,Q5083146,"Charles Vivian, 2nd Baron Vivian",indirect,rush
Q11800905,John Tremayne,Q6256551,John Salusbury-Trelawny,indirect,rush
Q11801410,"Sir Hedworth Williamson, 7th Baronet",Q6593713,"Thomas Dundas, 2nd Earl of Zetland",indirect,rush
Q11801410,"Sir Hedworth Williamson, 7th Baronet",Q7527086,"Sir Hedworth Williamson, 8th Baronet",child;parent,panel;rush
Q11801484,John Gurdon Rebow,Q21554127,Brampton Gurdon,sibling,panel;rush
Q11801484,John Gurdon Rebow,Q7345003,"Robert Gurdon, 1st Baron Cranworth",niece/nephew;uncle/aunt,panel;rush
Q11801484,John Gurdon Rebow,Q8005851,William Brampton Gurdon,niece/nephew,rush
Q11801634,John Willis Fleming,Q7795205,Thomas Willis Fleming,child,rush
Q11801709,Edward Clive,Q24254897,Henry Clive,sibling,panel
Q11801709,Edward Clive,Q5342327,Edward Clive,grandchild;grandparent,panel;rush
Q11801709,Edward Clive,Q5537991,George Clive,child;indirect;parent,panel;rush
Q11801709,Edward Clive,Q7167284,Percy Clive,indirect,rush
Q11801709,Edward Clive,Q7342986,Robert Clive,indirect,rush
Q11801709,Edward Clive,Q7351171,Robert Windsor-Clive,indirect,rush
Q11802131,George Blucher Heneage Marton,Q5542189,George Marton,child;parent,panel;rush
Q11802276,William Garfit,Q7789927,Thomas Garfit,parent,rush
Q11802543,"Henry Brassey, 1st Baron Brassey of Apethorpe",Q337691,"Thomas Brassey, 1st Earl Brassey",niece/nephew;uncle/aunt,panel;rush
Q11802543,"Henry Brassey, 1st Baron Brassey of Apethorpe",Q4709792,Albert Brassey,niece/nephew,panel
Q11802543,"Henry Brassey, 1st Baron Brassey of Apethorpe",Q5718544,Henry Brassey,child;parent,panel;rush
Q11802686,"Sir Matthew White Ridley, 4th Baronet",Q1510187,Gerard Smith,niece/nephew,rush
Q11802686,"Sir Matthew White Ridley, 4th Baronet",Q16030421,Edward Ridley,child;parent,panel;rush
Q11802686,"Sir Matthew White Ridley, 4th Baronet",Q25863273,George Ridley,sibling,panel;rush
Q11802686,"Sir Matthew White Ridley, 4th Baronet",Q337696,"Matthew White Ridley, 1st Viscount Ridley",child;parent,panel;rush
Q11802686,"Sir Matthew White Ridley, 4th Baronet",Q6791421,"Matthew White Ridley, 2nd Viscount Ridley",grandchild;grandparent,panel;rush
Q11802686,"Sir Matthew White Ridley, 4th Baronet",Q7026124,"Nicholas Ridley-Colborne, 1st Baron Colborne",niece/nephew,panel
Q11802686,"Sir Matthew White Ridley, 4th Baronet",Q7528317,"Sir Matthew White Ridley, 3rd Baronet",child;parent,panel;rush
Q11802744,William Farnworth Handley,Q26234470,Henry Handley,cousin,panel;rush
Q11802744,William Farnworth Handley,Q4888762,Benjamin Handley,cousin,panel;rush
Q11802744,William Farnworth Handley,Q6237583,John Handley,cousin,panel;rush
Q11802791,"Hugh Seely, 1st Baron Sherwood",Q5082431,Charles Seely,indirect,rush
Q11802791,"Hugh Seely, 1st Baron Sherwood",Q6105456,"John Seely, 1st Baron Mottistone",niece/nephew;uncle/aunt,panel;rush
Q11802791,"Hugh Seely, 1st Baron Sherwood",Q7526292,"Sir Charles Seely, 1st Baronet",grandchild;grandparent,panel;rush
Q11802791,"Hugh Seely, 1st Baron Sherwood",Q7526294,"Sir Charles Seely, 2nd Baronet",child;parent,panel;rush
Q11802984,Robert Aglionby Slaney,Q2374406,William Kenyon-Slaney,grandchild,rush
Q11802984,Robert Aglionby Slaney,Q8020060,William Watkin Edward Wynne,indirect,rush
Q11803195,"John Henniker-Major, 4th Baron Henniker",Q6238687,"John Henniker-Major, 5th Baron Henniker",child;parent,panel;rush
Q11803339,James Clifton Brown,Q477587,"Douglas Clifton Brown, 1st Viscount Ruffside",parent,panel
Q11803339,James Clifton Brown,Q5919321,Howard Clifton Brown,child;parent,panel;rush
Q11803339,James Clifton Brown,Q7525922,"Sir Alexander Brown, 1st Baronet",sibling,panel
Q11803653,"Sir Michael Shaw-Stewart, 7th Baronet",Q16065355,Houston Stewart,niece/nephew,panel
Q11803653,"Sir Michael Shaw-Stewart, 7th Baronet",Q26258168,"Sir Michael Shaw-Stewart, 6th Baronet",child,panel
Q11803653,"Sir Michael Shaw-Stewart, 7th Baronet",Q7527315,"Sir Hugh Shaw-Stewart, 8th Baronet",parent,panel
Q11803732,"Sir Thomas Winnington, 4th Baronet",Q15815164,Henry Winnington,niece/nephew;sibling,panel;rush
Q11803732,"Sir Thomas Winnington, 4th Baronet",Q7529312,"Sir Thomas Winnington, 3rd Baronet",child,panel
Q11803853,"Sir John Ramsden, 5th Baronet",Q16741842,John Charles Ramsden,child;parent,panel;rush
Q11806660,Eugene Wason,Q5052172,Cathcart Wason,sibling,rush
Q11806660,Eugene Wason,Q7333379,Rigby Wason,parent,rush
Q11806757,William Baird,Q6129250,James Baird,sibling,panel;rush
Q11806802,Lauderdale Maule,Q333117,"James Broun-Ramsay, 1st Marquess of Dalhousie",cousin,panel;rush
Q11806802,Lauderdale Maule,Q333304,"Fox Maule-Ramsay, 11th Earl of Dalhousie",sibling,panel;rush
Q11806802,Lauderdale Maule,Q6254150,"John Ramsay, 13th Earl of Dalhousie",indirect,rush
Q11806802,Lauderdale Maule,Q8015248,"William Maule, 1st Baron Panmure",child,panel
Q11806952,Henry Munro-Butler-Johnstone,Q13529858,Henry Butler-Johnstone,child;parent,panel;rush
Q12064625,Thomas Power O'Connor,Q8016251,William O'Malley,indirect,rush
Q12066246,"Henry Portman, 2nd Viscount Portman",Q5344887,"Edward Portman, 1st Viscount Portman",child,panel
Q12066246,"Henry Portman, 2nd Viscount Portman",Q5346251,Edwin Berkeley Portman,sibling,panel
Q12072266,"Henry Vivian, 1st Baron Swansea",Q3787726,"Hussey Vivian, 1st Baron Vivian",niece/nephew;uncle/aunt,panel;rush
Q12072266,"Henry Vivian, 1st Baron Swansea",Q4800546,Arthur Vivian,sibling,panel;rush
Q12072266,"Henry Vivian, 1st Baron Swansea",Q5083146,"Charles Vivian, 2nd Baron Vivian",cousin,panel;rush
Q12072266,"Henry Vivian, 1st Baron Swansea",Q5545334,"George Tryon, 1st Baron Tryon",indirect,rush
Q12072266,"Henry Vivian, 1st Baron Swansea",Q6227494,John Vivian,cousin,panel;rush
Q12072266,"Henry Vivian, 1st Baron Swansea",Q6238967,John Henry Vivian,child;parent,panel;rush
Q12072266,"Henry Vivian, 1st Baron Swansea",Q6537138,Lewis Vivian Loyd,niece/nephew,rush
Q12072266,"Henry Vivian, 1st Baron Swansea",Q7528355,"Sir Montague Cholmeley, 2nd Baronet",indirect,rush
Q1208851,"Diana Maddock, Baroness Maddock",Q260960,Alan Beith,spouse,rush
Q1230681,George Cornewall Lewis,Q7529126,Thomas Frankland Lewis,child,panel
Q1241117,"Eustace Percy, 1st Baron Percy of Newcastle",Q337686,"Algernon Percy, 6th Duke of Northumberland",grandchild;grandparent,panel;rush
Q1241117,"Eustace Percy, 1st Baron Percy of Newcastle",Q5726862,"Henry Percy, Earl Percy",sibling,panel;rush
