politician_id,politician_name,rushid,has_relative,n_relatives_detected,multiple_relatives,closeness,relation_types,relative_chamber,peerage_linked_flag,relative_sources,relative_examples
Q100148045,James Ewing,9093,0,0,0,,,,1,,
Q10240,Dadabhai Naoroji,2652,0,0,0,,,,0,,
Q1025409,Caerwyn Roderick,5592,0,0,0,,,,0,,
Q1026930,"Charles Lyttelton, 8th Viscount Cobham",2507,1,5,1,parent,parent;child;sibling;uncle/aunt;niece/nephew;indirect,HoC,1,panel;rush,"William Cavendish, 2nd Baron Chesham;Oliver Lyttelton, 1st Viscount Chandos;Alfred Lyttelton;Richard Temple-Nugent-Brydges-Chandos-Grenville, 3rd Duke of Buckingham and Chandos;John Lyttelton, 9th Viscount Cobham"
Q10288965,Lord George Paget,7095,1,7,1,sibling,sibling;uncle/aunt;niece/nephew;cousin,HoC,1,panel;rush,"Henry Paget, 2nd Marquess of Anglesey;Lord Alfred Paget;Almeric Paget, 1st Baron Queenborough;Frederick Paget;Henry Paget, 3rd Marquess of Anglesey;Clarence Paget;William Paget"
Q10305069,James Dunn,8646,0,0,0,,,,0,,
Q10305110,"James Scarlett, 1st Baron Abinger",5676,1,4,1,parent,parent;child;grandchild;indirect,HoC,1,panel;rush,"John Campbell, 1st Baron Campbell;James Yorke Scarlett;Robert Scarlett, 2nd Baron Abinger;William Campbell, 2nd Baron Stratheden and Campbell"
Q1049595,Roderick MacFarquhar,4837,0,0,0,,,,0,,
Q1052366,Cecil Walker,686,0,0,0,,,,0,,
Q10523755,Jocelyn Cadbury,3418,0,0,0,,,,0,,
Q1055918,Lembit Öpik,537,0,0,0,,,,0,,
Q1063662,Malcolm Barclay-Harvey,3099,0,0,0,,,,1,,
Q1063686,Charles Beattie,3134,0,0,0,,,,0,,
Q1063964,"Charles Cochrane-Baillie, 2nd Baron Lamington",1387,1,2,1,parent,parent;child;grandchild,HoC,1,panel;rush,"Alexander Baillie-Cochrane, 1st Baron Lamington;Thomas Cochrane"
Q10648,Gordon Brown,151,0,0,0,,,,0,,
Q10652,Alex Salmond,596,0,0,0,,,,0,,
Q106618,Henry Campbell-Bannerman,2913,1,1,0,sibling,sibling,HoC,1,panel;rush,James Alexander Campbell
Q10664,Neville Chamberlain,7764,1,3,1,parent,parent;child;sibling;niece/nephew,HoC,1,panel;rush,Austen Chamberlain;Joseph Chamberlain;Richard Chamberlain
Q1066568,Charles Sibthorp,5742,1,1,0,parent,parent;child,HoC,1,panel;rush,Gervaise Waldo-Sibthorp
Q106828783,Anum Qaisar-Javed,10315,0,0,0,,,,0,,
Q107009776,Kim Leadbeater,,0,0,0,,,,0,,
Q107284337,Sarah Green,,0,0,0,,,,0,,
Q10844155,Fred Blackburn,8529,0,0,0,,,,0,,
Q1086853,"Montague Woodhouse, 5th Baron Terrington",6394,1,2,1,grandparent,grandparent;indirect,HoC,1,rush,"James Woodhouse, 1st Baron Terrington;Vera Woodhouse, Lady Terrington"
Q1096999,Nigel Davies,8438,0,0,0,,,,0,,
Q10985643,Humfrey Malins,462,0,0,0,,,,0,,
Q1101328,"John Rolls, 1st Baron Llangattock",779,0,0,0,,,,1,,
Q1101999,"Clive Soley, Baron Soley",626,0,0,0,,,,1,,
Q1103940,"Terence Donovan, Baron Donovan",3758,0,0,0,,,,1,,
Q11154675,Ian Taylor,656,0,0,0,,,,0,,
Q11283925,William Deedes,3714,1,2,1,parent,parent;child;indirect,HoC,1,panel;rush,Bill Deedes;William Deedes
Q11309157,"James Duff, 5th Earl Fife",6732,1,3,1,parent,parent;sibling;indirect,HoC,1,panel;rush,"Alexander Duff, 1st Duke of Fife;George Skene Duff;John Lewis Ricardo"
Q11327314,Herbert Wragg,6265,0,0,0,,,,0,,
Q1141134,Isaac Butt,1308,0,0,0,,,,0,,
Q1145241,"Sir Harry Burrard-Neale, 2nd Baronet",5183,0,0,0,,,,1,,
Q1147508,Evelyn Ashley,1135,1,5,1,parent,parent;child;sibling;niece/nephew,HoC,1,panel;rush,"Wilfrid Ashley, 1st Baron Mount Temple;Anthony Henry Ashley-Cooper;Anthony John Ashley-Cooper;Anthony Ashley-Cooper, 7th Earl of Shaftesbury;Anthony Ashley-Cooper, 8th Earl of Shaftesbury"
Q1149445,"Francis Egerton, 1st Earl of Ellesmere",6442,1,5,1,parent,parent;child;grandparent;grandchild;indirect,HoC,1,panel;rush,"Alfred Egerton;Algernon Egerton;Francis Egerton;George Byng, 3rd Earl of Strafford;George Egerton, 2nd Earl of Ellesmere"
Q1157836,"Dale Campbell-Savours, Baron Campbell-Savours",173,0,0,0,,,,1,,
Q1160939,"Daniel Granville West, Baron Granville-West",8451,0,0,0,,,,1,,
Q11682348,Harry West,8603,0,0,0,,,,0,,
Q1170763,John Graham Kerr,4579,0,0,0,,,,0,,
Q11708915,"Henry James, 1st Baron James of Hereford",2351,0,0,0,,,,1,,
Q11722946,"Neil Carmichael, Baron Carmichael of Kelvingrove",8774,1,1,0,parent,parent,HoC,1,rush,James Carmichael
Q11722962,Ness Edwards,8776,1,2,1,child,child;indirect,HoC,0,rush,"Llin Golding, Baroness Golding;John Golding"
Q11722970,John Gunnell,325,0,0,0,,,,0,,
Q11723013,William Baxter,8942,0,0,0,,,,0,,
Q11727985,"John Sinclair, 1st Baron Pentland",2864,0,0,0,,,,1,,
