from_politician_id,from_name,from_rushid,to_politician_id,to_name,to_rushid,relation,source
Q4666575,Abel Henry Smith,1823,Q4666623,Abel Smith,,father,wikidata
Q4666575,Abel Henry Smith,1823,Q4666622,Abel Smith,,grandparent,wikidata
Q4666622,Abel Smith,6467,Q4666623,Abel Smith,,child,wikidata
Q4666623,Abel Smith,867,Q4666575,Abel Henry Smith,,child,wikidata
Q4666622,Abel Smith,6467,Q7342786,"Robert Carrington, 2nd Baron Carrington",7218,cousin,rush
Q4666622,Abel Smith,6467,Q7412657,Samuel Smith,,father,wikidata
Q4666623,Abel Smith,867,Q4666622,Abel Smith,,father,wikidata
Q4666622,Abel Smith,6467,Q4666575,Abel Henry Smith,,grandchild,wikidata
Q4666623,Abel Smith,867,Q7412657,Samuel Smith,,grandparent,wikidata
Q4678809,Adam Butler,9171,Q182035,RAB Butler,,father,wikidata
Q26208214,Addison Cresswell,3626,Q5184522,Cresswell Cresswell,,sibling,wikidata
Q4681850,"Adelbert Brownlow-Cust, 3rd Earl Brownlow",6694,Q13529877,Henry Cockayne-Cust,1442,cousin,rush
Q4681850,"Adelbert Brownlow-Cust, 3rd Earl Brownlow",6694,Q6231485,"John Egerton, Viscount Alford",,father,wikidata
Q4697105,"Ailwyn Fellowes, 1st Baron Ailwyn",1868,Q5342877,"Edward Fellowes, 1st Baron de Ramsey",,father,wikidata
Q4697105,"Ailwyn Fellowes, 1st Baron Ailwyn",1868,Q8008975,"William Fellowes, 2nd Baron de Ramsey",,sibling,wikidata
Q16031440,Alan Coulston Gardner,7405,Q5734170,"Herbert Gardner, 1st Baron Burghclere",,sibling,wikidata
Q4706577,"Alan Egerton, 3rd Baron Egerton",1787,Q8008502,"William Egerton, 1st Baron Egerton",,father,wikidata
Q4706577,"Alan Egerton, 3rd Baron Egerton",1787,Q7619928,"Wilbraham Egerton, 1st Earl Egerton",,sibling,wikidata
Q4707145,"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",4701,Q13529970,Mark Lennox-Boyd,,child,wikidata
Q4709004,"Alban Gibbs, 2nd Baron Aldenham",2062,Q5928148,"Hucks Gibbs, 1st Baron Aldenham",,father,wikidata
Q4709004,"Alban Gibbs, 2nd Baron Aldenham",2062,Q7924986,Vicary Gibbs,,sibling,wikidata
Q4709792,Albert Brassey,1930,Q7342109,Robert Brassey,,child,wikidata
Q4709792,Albert Brassey,1930,Q11802543,"Henry Brassey, 1st Baron Brassey of Apethorpe",,nephew/niece,wikidata
Q4709792,Albert Brassey,1930,Q337691,"Thomas Brassey, 1st Earl Brassey",,sibling,wikidata
Q4709792,Albert Brassey,1930,Q5718544,Henry Brassey,,sibling,wikidata
Q4710027,"Albert Denison, 1st Baron Londesborough",6672,Q8007758,"William Denison, 1st Earl of Londesborough",,child,wikidata
Q333336,"Albert Grey, 4th Earl Grey",1738,Q5078440,Charles Grey,,father,wikidata
Q4710526,"Albert Illingworth, 1st Baron Illingworth",7711,Q7167413,Percy Illingworth,,sibling,wikidata
Q3610747,"Alexander Baillie-Cochrane, 1st Baron Lamington",1150,Q1063964,"Charles Cochrane-Baillie, 2nd Baron Lamington",,child,wikidata
Q3610747,"Alexander Baillie-Cochrane, 1st Baron Lamington",1150,Q7791336,Thomas Cochrane,,father,wikidata
Q652514,"Alexander Baring, 1st Baron Ashburton",6533,Q5480129,"Francis Baring, 3rd Baron Ashburton",,child,wikidata
Q652514,"Alexander Baring, 1st Baron Ashburton",6533,Q4914194,"Bingham Baring, 2nd Baron Ashburton",,child,wikidata
Q652514,"Alexander Baring, 1st Baron Ashburton",6533,Q4718311,"Alexander Baring, 4th Baron Ashburton",,grandchild,wikidata
Q652514,"Alexander Baring, 1st Baron Ashburton",6533,Q7787384,Thomas Baring,,nephew/niece,wikidata
Q652514,"Alexander Baring, 1st Baron Ashburton",6533,Q3750914,"Francis Baring, 1st Baron Northbrook",,nephew/niece,wikidata
Q652514,"Alexander Baring, 1st Baron Ashburton",6533,Q7529038,"Sir Thomas Baring, 2nd Baronet",,sibling,wikidata
Q4718311,"Alexander Baring, 4th Baron Ashburton",6534,Q5622068,Guy Baring,,child,wikidata
Q4718311,"Alexander Baring, 4th Baron Ashburton",6534,Q5480129,"Francis Baring, 3rd Baron Ashburton",,father,wikidata
Q4718311,"Alexander Baring, 4th Baron Ashburton",6534,Q652514,"Alexander Baring, 1st Baron Ashburton",,grandparent,wikidata
Q4718311,"Alexander Baring, 4th Baron Ashburton",6534,Q4914194,"Bingham Baring, 2nd Baron Ashburton",,uncle/aunt,wikidata
Q1739864,Alexander Beresford Hope,1213,Q15990054,Henry Hope,,sibling,wikidata
Q4718571,Alexander Charles Barclay,1164,Q5231112,David Barclay,,father,wikidata
Q26691316,Alexander Dennistoun,3727,Q25927607,John Dennistoun,,sibling,wikidata
Q332552,"Alexander Duff, 1st Duke of Fife",2524,Q11309157,"James Duff, 5th Earl Fife",,father,wikidata
Q26678464,Alexander Ellice,6751,Q5342758,Edward Ellice,,nephew/niece,wikidata
Q26678464,Alexander Ellice,6751,Q157691,Edward Ellice,,sibling,wikidata
Q4718909,"Alexander Fuller-Acland-Hood, 1st Baron St Audries",26,Q26250760,"Sir Alexander Fuller-Acland-Hood, 3rd Baronet",,father,wikidata
Q4718909,"Alexander Fuller-Acland-Hood, 1st Baron St Audries",26,Q26701549,"Sir Alexander Hood, 2nd Baronet",,grandparent,wikidata
Q4719056,Alexander Hamilton-Gordon,1699,Q5301898,Douglas Proby,,nephew/niece,wikidata
Q4719056,Alexander Hamilton-Gordon,1699,Q6679103,Lord Claud Hamilton,,sibling,wikidata
Q4719056,Alexander Hamilton-Gordon,1699,Q4702898,"George Hamilton-Gordon, 5th Earl of Aberdeen",,sibling,wikidata
Q4719056,Alexander Hamilton-Gordon,1699,Q335510,"Arthur Hamilton-Gordon, 1st Baron Stanmore",,sibling,wikidata
Q26257507,Alexander Hastie,4281,Q21541762,Archibald Hastie,4280,cousin,rush
Q4719112,"Alexander Henderson, 1st Baron Faringdon",7659,Q5660994,Harold Henderson,,child,wikidata
Q3012172,Alexander Hope,9103,Q5546317,George William Hope,,child,wikidata
Q4719558,Alexander Martin Sullivan,913,Q3991506,Timothy Daniel Sullivan,,sibling,wikidata
Q4719716,"Alexander Murray, 1st Baron Murray of Elibank",7590,Q5559635,"Gideon Oliphant-Murray, 2nd Viscount Elibank",,sibling,wikidata
Q4719716,"Alexander Murray, 1st Baron Murray of Elibank",7590,Q4799794,"Arthur Murray, 3rd Viscount Elibank",,sibling,wikidata
Q4720072,"Alexander Shaw, 2nd Baron Craigmyle",7718,Q1765791,"Thomas Shaw, 1st Baron Craigmyle",,father,wikidata
Q26758594,Alexander Speirs,7232,Q4720126,Alexander Speirs,7231,cousin,rush
Q4720126,Alexander Speirs,7231,Q26758594,Alexander Speirs,7232,cousin,rush
Q2833209,Alexander Staveley Hill,2274,Q26085159,Henry Staveley-Hill,,child,wikidata
Q18619569,Alexander Whitelaw,1037,Q26690007,Graeme Whitelaw,,child,wikidata
Q18619569,Alexander Whitelaw,1037,Q8020294,William Whitelaw,,child,wikidata
Q336911,Alf Morris,8382,Q333326,"Estelle Morris, Baroness Morris of Yardley",,nephew/niece,wikidata
Q336911,Alf Morris,8382,Q5081098,Charles Morris,,sibling,wikidata
Q4722280,Alfred Baldwin,2110,Q166635,Stanley Baldwin,,child,wikidata
Q4722280,Alfred Baldwin,2110,Q4090718,"Oliver Baldwin, 2nd Earl Baldwin of Bewdley",,grandchild,wikidata
Q4683988,Alfred Bossom,3266,Q5134501,Clive Bossom,,child,wikidata
Q4722620,Alfred Egerton,1542,Q5538925,"George Egerton, 2nd Earl of Ellesmere",,father,wikidata
Q4722620,Alfred Egerton,1542,Q1149445,"Francis Egerton, 1st Earl of Ellesmere",,grandparent,wikidata
Q4722620,Alfred Egerton,1542,Q5480848,Francis Egerton,,uncle/aunt,wikidata
Q4722620,Alfred Egerton,1542,Q4724140,Algernon Egerton,,uncle/aunt,wikidata
Q4722710,Alfred Gathorne-Hardy,1667,Q5527395,"Gathorne Gathorne-Hardy, 1st Earl of Cranbrook",,father,wikidata
Q4722710,Alfred Gathorne-Hardy,1667,Q6237751,John Hardy,,grandparent,wikidata
Q4722710,Alfred Gathorne-Hardy,1667,Q13529906,"John Gathorne-Hardy, 2nd Earl of Cranbrook",,sibling,wikidata
Q4722710,Alfred Gathorne-Hardy,1667,Q7527819,"Sir John Hardy, 1st Baronet",,uncle/aunt,wikidata
Q4722730,Alfred Giles,1679,Q5083069,Charles Tyrrell Giles,,child,wikidata
Q334106,Alfred Knox,7736,Q5339887,Edmund Vesey Knox,,sibling,wikidata
Q3395941,Alfred Lyttelton,4810,Q2892622,"Oliver Lyttelton, 1st Viscount Chandos",,child,wikidata
Q3395941,Alfred Lyttelton,4810,Q6245664,"John Lyttelton, 9th Viscount Cobham",,nephew/niece,wikidata
Q3395941,Alfred Lyttelton,4810,Q1026930,"Charles Lyttelton, 8th Viscount Cobham",,sibling,wikidata
Q333591,"Alfred Mond, 1st Baron Melchett",5087,Q5725940,"Henry Mond, 2nd Baron Melchett",,child,wikidata
Q4723284,Alfred Percy Allsopp,1109,Q5717273,"Henry Allsopp, 1st Baron Hindlip",,father,wikidata
Q4723284,Alfred Percy Allsopp,1109,Q5540593,George Allsopp,,sibling,wikidata
Q4723284,Alfred Percy Allsopp,1109,Q7410754,"Samuel Allsopp, 2nd Baron Hindlip",,sibling,wikidata
Q4723426,Alfred Seymour,7196,Q16063838,Henry Danby Seymour,,sibling,wikidata
Q4723580,Alfred Waldron Smithers,5781,Q7961641,Waldron Smithers,,child,wikidata
Q19308194,Alfred Welby,2061,Q7526983,"Sir Glynne Welby, 3rd Baronet",,father,wikidata
Q19308194,Alfred Welby,2061,Q13530066,"Sir Charles Welby, 5th Baronet",,nephew/niece,wikidata
