politician_id,politician_name,first_name,last_name,gender,birth_year,death_year,first_year_in_HoC,last_year_in_HoC,n_parliaments,ever_cabinet,parties,has_relative,closeness,relative_chamber,multiple_relatives,relation_types,n_relatives_detected,relative_preceded,peerage_linked_flag,relative_examples,rush_cousin_mp,rush_cousin_names,has_relative_incl_cousins,rushid,peerageid,whoswhoid,oxnatbibid,father_name,father_id,mother_name,mother_id
Q335754,"Edward Smith-Stanley, 13th Earl of Derby",Edward,Smith-Stanley,male,1775,1851,1831,1832,1,0,,1,child,HoC,1,child; grandchild,4,0,1,"child: Edward Smith-Stanley, 14th Earl of Derby | child: Henry Stanley | grandchild: Frederick Stanley, 16th Earl of Derby",0,,1,,13823,,26268,"Edward Smith-Stanley, 12th Earl of Derby",Q333496,"Elizabeth Smith-Stanley, Countess of Derby",Q4725
Q16741823,William Gore-Langton,William,Gore-Langton,male,1760,1847,1831,1847,5,0,,1,child,HoC,0,child,1,0,1,child: Henry Gore-Langton,0,,1,4648,18903,,,Edward Gore,Q75263671,Barbara Browne,Q75263669
Q6224784,John Calcraft,John,Calcraft,male,1765,1831,1831,1831,1,0,,1,child,HoC,1,child; grandchild,3,0,1,child: Granby Calcraft | child: John Hales Calcraft | grandchild: John Calcraft,0,,1,,189546,,4362,John Calcraft,Q6224781,,
Q15458169,John Smith,John,Smith,male,1767,1842,1831,1834,2,0,,1,child,HoC,1,child; sibling; grandchild; nephew/niece,6,0,1,child: John Abel Smith | child: Martin Tucker Smith | sibling: Samuel Smith | grandchild: Gerard Smith | nephew/niece: Abel Smith,0,,1,7214,141759,,,Abel Smith,Q4666619,Mary Bird,Q75432493
Q7351116,Robert Williams,Robert,Williams,male,1767,1847,1831,1834,2,0,,1,child,HoC,1,child; grandchild,2,0,1,"child: Robert Williams | grandchild: Sir Robert Williams, 1st Baronet",0,,1,6473,31161,,,Robert Williams,Q76215557,Jane Chassereau,Q76215564
Q5359607,"Hugh Fortescue, 2nd Earl Fortescue",Hugh,Fortescue,male,1783,1861,1831,1839,4,0,,1,child,HoC,1,child; grandchild,4,0,1,"child: John William Fortescue | child: Dudley Fortescue | grandchild: Hugh Fortescue, 4th Earl Fortescue",0,,1,9005,45992,,41164,"Hugh Fortescue, 1st Earl Fortescue",Q5930801,Hester Grenville,Q15699697
Q386213,"John Spencer, 3rd Earl Spencer",John,Spencer,male,1782,1845,1831,1834,2,1,,1,sibling,HoC,1,sibling; nephew/niece,3,0,1,"sibling: Frederick Spencer, 4th Earl Spencer | nephew/niece: John Spencer, 5th Earl Spencer",0,,1,3012,105098,,26133,"George Spencer, 2nd Earl Spencer",Q332521,"Lavinia Spencer, Countess Spencer",Q19403398
Q7026124,"Nicholas Ridley-Colborne, 1st Baron Colborne",Nicholas,Ridley-Colborne,male,1779,1854,1831,1837,3,0,,1,sibling,HoC,1,sibling; nephew/niece,3,0,1,"sibling: Sir Matthew White Ridley, 3rd Baronet | nephew/niece: Sir Matthew White Ridley, 4th Baronet",0,,1,3557,75069,,,"Sir Matthew White Ridley, 2nd Baronet",Q7528316,Sarah Colborne,Q75341943
Q16066313,Thomas Grimston Estcourt,Thomas,Grimston Estcourt,male,1775,1853,1831,1847,5,0,,1,child,HoC,0,child,1,0,1,child: Thomas Sotheron-Estcourt,0,,1,3899,233879,,,Thomas Estcourt,Q24276271,Jane Grimston,Q75597087
Q8015248,"William Maule, 1st Baron Panmure",William,Maule,male,1771,1852,1831,1831,1,0,,1,child,HoC,1,child,2,0,1,"child: Fox Maule-Ramsay, 11th Earl of Dalhousie | child: Lauderdale Maule",0,,1,,29207,,18370,"George Ramsay, 8th Earl of Dalhousie",Q7616249,Elizabeth Glen,Q75271681
Q6253138,"John Ponsonby, 4th Earl of Bessborough",John,Ponsonby,male,1781,1847,1831,1834,2,1,,1,child,HoC,1,child; sibling; nephew/niece,4,0,1,"child: John Ponsonby, 5th Earl of Bessborough | sibling: William Ponsonby, 1st Baron de Mauley | nephew/niece: Charles Ponsonby, 2nd Baron de Mauley",0,,1,,27016,,22500,"Frederick Ponsonby, 3rd Earl of Bessborough",Q1452971,"Henrietta Ponsonby, Countess of Bessborough",Q1396481
Q5343428,"Edward Herbert, 2nd Earl of Powis",Edward,Herbert,male,1785,1848,1831,1839,4,0,,1,child,HoC,1,child; sibling; nephew/niece,5,0,1,"child: Percy Herbert | child: Edward Herbert, 3rd Earl of Powis | sibling: Robert Clive | nephew/niece: George Windsor-Clive",0,,1,8995,45652,,13024,"Edward Clive, 1st Earl of Powis",Q165770,"Henrietta Clive, Countess of Powis",Q3784877
Q6138829,"James Maitland, 9th Earl of Lauderdale",James,Maitland,male,1784,1860,1831,1832,1,0,,1,sibling,HoC,0,sibling,1,0,1,sibling: Anthony Maitland,0,,1,,85151,,,"James Maitland, 8th Earl of Lauderdale",Q333300,Eleanor Todd,Q75356976
Q6249777,Joseph Sydney Yorke,Joseph,Sydney Yorke,male,1768,1831,1831,1831,1,0,,1,child,HoC,1,child; grandchild,4,0,1,"child: Eliot Yorke | child: Charles Yorke, 4th Earl of Hardwicke | grandchild: Charles Yorke, 5th Earl of Hardwicke",0,,1,,25442,,30244,Charles Yorke,Q5083769,Agneta Yorke,Q68975126
Q7529038,"Sir Thomas Baring, 2nd Baronet",Thomas,Baring,male,1772,1848,1831,1832,1,0,,1,child,HoC,1,child; sibling; grandchild; nephew/niece,6,0,1,"child: Thomas Baring | child: Francis Baring, 1st Baron Northbrook | sibling: Alexander Baring, 1st Baron Ashburton | grandchild: Thomas Baring, 1st Earl of Northbrook | nephew/niece: Francis Baring, 3rd Baron Ashburton",0,,1,,30283,,,"Sir Francis Baring, 1st Baronet",Q5565890,Lady Harriet Baring,Q40348084
Q5345379,Edward Southwell Ruthven,Edward,Southwell Ruthven,male,1772,1836,1831,1836,3,0,,1,child,HoC,0,child,1,0,0,child: Edward Ruthven,0,,1,5646,,,24370,,,,
