rushid_int,has_relative_rush,closeness_rush,relation_types_rush,n_relatives_rush,multiple_relatives_rush,has_blood_relative_rush,relative_names_rush
200,1,grandparent,grandparent; indirect,2,1,1,3525 | 9241
3525,1,indirect,indirect,2,1,1,200 | 9241
6656,1,child,child; grandchild; indirect,5,1,1,1378 | 1379 | 6659 | 6660 | 7624
1379,1,child,child; indirect; parent,5,1,1,1378 | 6656 | 6659 | 6660 | 7624
6658,1,indirect,indirect,5,1,1,6659 | 6660 | 7624 | 8995 | 8996
8996,1,parent,cousin; indirect; parent; pibling; sibling,8,1,1,1073 | 2259 | 6359 | 6658 | 6659 | 6660 | 7624 | 8995
8995,1,child,child; indirect; nibling; sibling,8,1,1,1073 | 2259 | 6359 | 6658 | 6659 | 6660 | 7624 | 8996
6659,1,child,child; grandchild; indirect; nibling; sibling,9,1,1,1073 | 1379 | 2259 | 6359 | 6656 | 6658 | 6660 | 8995 | 8996
6660,1,parent,indirect; parent; sibling,8,1,1,1073 | 1378 | 1379 | 6656 | 6658 | 6659 | 8995 | 8996
1378,1,parent,grandparent; indirect; parent,4,1,1,1379 | 6656 | 6660 | 7624
6666,1,sibling,indirect; nibling; sibling,4,1,1,1393 | 1395 | 6667 | 8997
1393,1,sibling,indirect; nibling; sibling,4,1,1,1395 | 6666 | 6667 | 8997
6670,1,child,child; indirect,2,1,1,2810 | 7500
7500,1,indirect,indirect,2,1,1,2810 | 6670
2810,1,parent,indirect; parent,2,1,1,6670 | 7500
7624,1,indirect,indirect,6,1,1,1378 | 1379 | 6656 | 6658 | 8995 | 8996
8245,1,indirect,indirect,1,0,1,1365
1365,1,indirect,indirect,1,0,1,8245
9241,1,grandchild,grandchild; indirect,2,1,1,200 | 3525
6359,1,parent,grandparent; indirect; parent,5,1,1,1073 | 2412 | 6659 | 8995 | 8996
2412,1,indirect,indirect,1,0,1,6359
1488,1,grandchild,grandchild; indirect; pibling,3,1,1,2183 | 6717 | 6990
6990,1,parent,child; indirect; parent,4,1,1,1488 | 2109 | 2183 | 6991
1422,1,indirect,indirect,1,0,1,7498
7498,1,indirect,indirect,1,0,1,1422
1426,1,indirect,indirect,3,1,1,1427 | 1428 | 2041
2041,1,parent,indirect; parent,3,1,1,1426 | 1427 | 1428
1427,1,child,child; indirect; sibling,3,1,1,1426 | 1428 | 2041
1428,1,sibling,indirect; sibling,3,1,1,1426 | 1427 | 2041
1430,1,indirect,indirect,1,0,1,7778
7778,1,indirect,indirect,1,0,1,1430
6688,1,indirect,indirect,1,0,1,6689
6689,1,indirect,indirect,1,0,1,6688
8206,1,child,child; grandchild; grandparent; indirect; parent,6,1,1,1873 | 1875 | 7867 | 8852 | 9003 | 9311
1875,1,parent,grandparent; indirect; parent; pibling; sibling,5,1,1,1345 | 1801 | 2235 | 8206 | 9085
9311,1,parent,grandparent; indirect; parent,4,1,1,1873 | 8206 | 8852 | 9003
9003,1,child,child; grandchild; indirect; nibling; sibling,9,1,1,1081 | 1873 | 1988 | 2186 | 6380 | 6639 | 8199 | 8206 | 9311
1873,1,parent,child; cousin; grandchild; indirect; parent; sibling,10,1,1,1988 | 2186 | 7867 | 8199 | 8206 | 8335 | 8852 | 8949 | 9003 | 9311
8151,1,parent,grandparent; indirect; parent; pibling; sibling; spouse,9,1,1,1309 | 1310 | 1311 | 2073 | 5221 | 6437 | 6617 | 6618 | 7801
1309,1,child,child; indirect; nibling; parent; pibling; sibling,8,1,1,1310 | 1311 | 2073 | 6437 | 6617 | 6618 | 7801 | 8151
6617,1,child,child; grandchild; indirect; nibling,9,1,1,1309 | 1310 | 1311 | 2073 | 6437 | 6457 | 6618 | 7801 | 8151
7801,1,parent,grandparent; indirect; parent; pibling; sibling,8,1,1,1309 | 1310 | 1311 | 2073 | 6437 | 6617 | 6618 | 8151
1455,1,child,child; indirect,3,1,1,1454 | 1784 | 6700
6700,1,grandchild,grandchild; indirect,2,1,1,1455 | 4373
1485,1,indirect,indirect,1,0,1,6716
6716,1,indirect,indirect,1,0,1,1485
3712,1,child,child; indirect,2,1,1,3713 | 3714
3713,1,indirect,indirect,2,1,1,3712 | 3714
3714,1,parent,indirect; parent,2,1,1,3712 | 3713
6693,1,child,child; indirect; nibling; parent; sibling,3,1,1,1439 | 1440 | 7897
7897,1,parent,indirect; parent,3,1,1,1439 | 1440 | 6693
6695,1,sibling,indirect; nibling; sibling,4,1,1,1442 | 2042 | 2997 | 6694
2042,1,parent,cousin; indirect; parent,3,1,1,1442 | 6694 | 6695
6698,1,child,child; grandchild; indirect,4,1,1,6697 | 6699 | 7468 | 7617
6699,1,grandchild,grandchild; indirect,4,1,1,6697 | 6698 | 7468 | 7617
6697,1,indirect,indirect,3,1,1,6698 | 6699 | 7617
7468,1,parent,grandparent; indirect; parent; pibling,3,1,1,6698 | 6699 | 7617
6713,1,indirect,indirect,1,0,1,6714
6714,1,parent,indirect; parent,4,1,1,6254 | 6672 | 6713 | 864
7617,1,child,child; grandparent; indirect; nibling; parent,4,1,1,6697 | 6698 | 6699 | 7468
1440,1,child,child; indirect; nibling; sibling,4,1,1,1439 | 6693 | 7897 | 884
8932,1,parent,grandparent; indirect; parent,3,1,1,1445 | 2018 | 8304
1445,1,child,child; grandchild; indirect; pibling; sibling,5,1,1,2018 | 7191 | 7193 | 8304 | 8932
9185,1,indirect,indirect; spouse,2,1,1,7682 | 9235
7682,1,parent,child; indirect; parent,3,1,1,1489 | 9185 | 9235
8979,1,parent,grandparent; indirect; parent,3,1,1,1371 | 8174 | 8363
1371,1,child,child; grandchild; grandparent; indirect; parent,5,1,1,3235 | 3236 | 8174 | 8363 | 8979
1494,1,parent,indirect; parent; sibling,2,1,1,1821 | 6482
6482,1,child,child; indirect,2,1,1,1494 | 1821
231,1,indirect,indirect,1,0,1,6176
6176,1,pibling,indirect; pibling,2,1,1,231 | 6178
1503,1,indirect,indirect,1,0,1,6922
6922,1,indirect,indirect,1,0,1,1503
1522,1,parent,indirect; parent; pibling,5,1,1,1523 | 1524 | 6439 | 6739 | 6740
1523,1,pibling,indirect; pibling,5,1,1,1522 | 1524 | 6439 | 6739 | 6740
1524,1,sibling,cousin; indirect; nibling; sibling,7,1,1,1522 | 1523 | 2249 | 3350 | 6439 | 6739 | 6740
6739,1,child,child; cousin; grandchild; indirect; nibling; sibling,8,1,1,1522 | 1523 | 1524 | 2249 | 2446 | 3350 | 6439 | 6740
6740,1,parent,child; grandchild; indirect; parent; pibling,9,1,1,1522 | 1523 | 1524 | 2249 | 6439 | 6739 | 6829 | 7382 | 7642
6439,1,child,child; cousin; indirect; nibling; sibling,6,1,1,1522 | 1523 | 1524 | 3350 | 6739 | 6740
1600,1,sibling,indirect; sibling,3,1,1,1599 | 2220 | 4898
2220,1,sibling,indirect; sibling,2,1,1,1600 | 2338
1527,1,indirect,indirect,1,0,1,8324
8324,1,indirect,indirect,1,0,1,1527
3743,1,indirect,indirect,1,0,1,3742
3742,1,indirect,indirect,1,0,1,3743
1555,1,parent,indirect; parent,4,1,1,1552 | 1553 | 5040 | 6752
1552,1,child,child; indirect,3,1,1,1553 | 1555 | 6752
3154,1,indirect,indirect,1,0,1,3155
3155,1,sibling,indirect; sibling,2,1,1,3154 | 3156
1979,1,indirect,indirect,1,0,1,7906
7906,1,indirect,indirect,1,0,1,1979
2073,1,parent,cousin; grandparent; indirect; parent; pibling,8,1,1,1309 | 1310 | 1311 | 6437 | 6617 | 6618 | 7801 | 8151
1395,1,parent,indirect; parent; pibling; sibling,4,1,1,1393 | 1418 | 6666 | 8997
3520,1,indirect,indirect,3,1,1,3518 | 3519 | 3521
3521,1,sibling,indirect; sibling,3,1,1,3518 | 3519 | 3520
3988,1,indirect,indirect,1,0,1,3995
3995,1,indirect,indirect,1,0,1,3988
3992,1,parent,indirect; nibling; parent; sibling,8,1,1,1018 | 1019 | 1020 | 1990 | 2608 | 5265 | 9037 | 9038
1990,1,parent,grandparent; indirect; parent; pibling,10,1,1,1018 | 1019 | 1020 | 2608 | 3992 | 5265 | 5606 | 6745 | 9037 | 9038
1659,1,child,child; indirect,2,1,1,1660 | 2616
2616,1,indirect,indirect,1,0,1,1659
4097,1,cousin,cousin; indirect,2,1,1,5052 | 6403
5052,1,sibling,indirect; sibling,4,1,1,2885 | 4097 | 6970 | 8391
7399,1,parent,grandparent; indirect; parent; pibling,5,1,1,1687 | 1688 | 2118 | 6819 | 6820
6820,1,sibling,indirect; nibling; sibling,5,1,1,1687 | 1688 | 2118 | 6819 | 7399
1454,1,child,child; indirect,3,1,1,1455 | 4763 | 5476
3272,1,indirect,indirect,1,0,1,3821
3821,1,indirect,indirect,1,0,1,3272
3797,1,indirect,indirect,1,0,1,3798
3798,1,indirect,indirect,1,0,1,3797
3810,1,indirect,indirect,1,0,1,3811
3811,1,indirect,indirect,3,1,1,3810 | 4695 | 9033
6309,1,indirect,indirect,1,0,1,7991
7991,1,indirect,indirect,1,0,1,6309
8616,1,indirect,indirect,2,1,1,1642 | 1643
1642,1,indirect,indirect,2,1,1,1643 | 8616
1643,1,indirect,indirect,2,1,1,1642 | 8616
1018,1,parent,indirect; nibling; parent; sibling,8,1,1,1019 | 1020 | 1990 | 2608 | 3992 | 5265 | 9037 | 9038
9037,1,parent,indirect; nibling; parent; sibling,8,1,1,1018 | 1019 | 1020 | 1990 | 2608 | 3992 | 5265 | 9038
5265,1,child,child; grandchild; indirect,8,1,1,1018 | 1019 | 1020 | 1990 | 2608 | 3992 | 9037 | 9038
1075,1,sibling,indirect; sibling,2,1,1,1074 | 2218
2218,1,pibling,indirect; pibling,2,1,1,1075 | 6871
6747,1,nibling,indirect; nibling,3,1,1,1526 | 6440 | 6745
1526,1,parent,indirect; nibling; parent; pibling; sibling,5,1,1,3180 | 5606 | 6440 | 6745 | 6747
6745,1,child,child; indirect; parent; pibling; sibling,6,1,1,1526 | 1990 | 3180 | 5606 | 6440 | 6747
8814,1,indirect,indirect,1,0,1,8481
8481,1,parent,child; indirect; parent,5,1,1,6127 | 7592 | 8363 | 8814 | 9852
8890,1,indirect,indirect,1,0,1,1492
1492,1,indirect,indirect,1,0,1,8890
1544,1,sibling,indirect; nibling; sibling,4,1,1,1546 | 1547 | 1787 | 6602
1546,1,child,child; indirect,3,1,1,1542 | 1544 | 1547
1542,1,parent,grandparent; indirect; parent; pibling,6,1,1,1543 | 1545 | 1546 | 3313 | 6442 | 6602
1553,1,parent,indirect; parent,3,1,1,1552 | 1555 | 6752
3872,1,parent,indirect; parent; sibling,3,1,1,3873 | 4792 | 4793
3873,1,grandparent,grandparent; indirect,2,1,1,3872 | 4792
2135,1,child,child; grandparent; indirect; pibling,5,1,1,3298 | 4851 | 4852 | 4853 | 7747
3298,1,grandchild,grandchild; indirect,2,1,1,2135 | 7747
270,1,indirect,indirect,2,1,1,4172 | 9304
4172,1,parent,indirect; parent,2,1,1,270 | 9304
1234,1,indirect,indirect,2,1,1,1233 | 6579
6579,1,indirect,indirect,2,1,1,1233 | 1234
3518,1,sibling,indirect; sibling,3,1,1,3519 | 3520 | 3521
3519,1,sibling,indirect; sibling,3,1,1,3518 | 3520 | 3521
2028,1,indirect,indirect,1,0,1,3308
3308,1,indirect,indirect,1,0,1,2028
2905,1,sibling,indirect; pibling; sibling,3,1,1,1211 | 6067 | 6811
6811,1,indirect,indirect,1,0,1,2905
1830,1,parent,child; grandchild; indirect; parent,7,1,1,2474 | 2744 | 3092 | 3093 | 8657 | 8750 | 8821
2744,1,grandchild,grandchild; indirect,3,1,1,1830 | 3092 | 8657
7440,1,parent,indirect; parent,2,1,1,1872 | 2077
1872,1,indirect,indirect,1,0,1,7440
1719,1,child,child; indirect,3,1,1,1718 | 6833 | 6834
6834,1,parent,indirect; parent,2,1,1,1719 | 6833
1030,1,child,child; cousin; indirect; nibling,4,1,1,1739 | 2857 | 6112 | 7339
7339,1,indirect,indirect,1,0,1,1030
6833,1,child,child; indirect,3,1,1,1718 | 1719 | 6834
1738,1,parent,indirect; parent; pibling,5,1,1,1739 | 2082 | 4438 | 6846 | 8424
1739,1,nibling,cousin; indirect; nibling,4,1,1,1030 | 1738 | 6846 | 7070
2082,1,indirect,indirect,3,1,1,1096 | 1738 | 6846
8424,1,indirect,indirect,1,0,1,1738
1361,1,indirect,indirect,2,1,1,2900 | 6645
2900,1,parent,indirect; parent,2,1,1,1361 | 6645
3422,1,indirect,indirect,1,0,1,3421
3421,1,indirect,indirect,1,0,1,3422
6752,1,sibling,indirect; nibling; sibling,6,1,1,1552 | 1553 | 1554 | 1555 | 5040 | 6444
6843,1,child,child; indirect,3,1,1,52 | 6136 | 7856
52,1,indirect,indirect,2,1,1,6843 | 7856
6846,1,child,child; cousin; indirect; sibling,4,1,1,1738 | 1739 | 2082 | 4438
1758,1,indirect,indirect,1,0,1,7743
7743,1,indirect,indirect,1,0,1,1758
6762,1,child,child; indirect,2,1,1,1573 | 4102
4102,1,indirect,indirect,1,0,1,6762
3415,1,sibling,indirect; nibling; sibling,3,1,1,1563 | 3416 | 9092
1563,1,parent,grandparent; indirect; parent,5,1,1,3313 | 3415 | 3416 | 6442 | 9092
3989,1,cousin,cousin; indirect,5,1,1,3903 | 3904 | 3985 | 3986 | 3987
3904,1,parent,indirect; parent; pibling; sibling,5,1,1,3903 | 3985 | 3986 | 3987 | 3989
2227,1,indirect,indirect,2,1,1,7708 | 7993
7993,1,sibling,indirect; sibling,2,1,1,2227 | 7708
7708,1,sibling,indirect; sibling,2,1,1,2227 | 7993
4231,1,indirect,indirect,1,0,1,4232
4232,1,indirect,indirect,1,0,1,4231
6865,1,child,child; indirect,7,1,1,1761 | 1762 | 1764 | 1765 | 1766 | 1768 | 7379
1762,1,sibling,indirect; pibling; sibling,7,1,1,1761 | 1764 | 1765 | 1768 | 1902 | 6865 | 8651
1765,1,sibling,indirect; pibling; sibling,8,1,1,1761 | 1762 | 1764 | 1768 | 1902 | 6865 | 7379 | 8651
1768,1,child,child; indirect; pibling; sibling,8,1,1,1761 | 1762 | 1764 | 1765 | 1902 | 6865 | 7379 | 8651
1764,1,sibling,indirect; pibling; sibling,8,1,1,1761 | 1762 | 1765 | 1768 | 1902 | 6865 | 7379 | 8651
7746,1,parent,indirect; parent,2,1,1,1062 | 2263
2263,1,indirect,indirect,1,0,1,7746
1648,1,indirect,indirect,1,0,1,1649
1649,1,indirect,indirect,1,0,1,1648
8747,1,indirect,indirect,1,0,1,7960
7960,1,indirect,indirect,1,0,1,8747
1056,1,child,child; indirect,3,1,1,1054 | 7733 | 8421
1054,1,sibling,grandchild; indirect; sibling,4,1,1,1052 | 1056 | 7733 | 8421
8421,1,parent,grandparent; indirect; parent; sibling,4,1,1,1054 | 1056 | 1237 | 7733
1237,1,indirect,indirect,1,0,1,8421
6200,1,indirect,indirect,2,1,1,6199 | 9006
9006,1,parent,child; indirect; parent,4,1,1,1534 | 3680 | 6200 | 9005
1550,1,parent,indirect; parent,3,1,1,1096 | 1549 | 1951
