from_rushid,to_rushid,label
200,3525,Indirect relative of
6656,1379,Indirect relative of
6658,8996,Indirect relative of
6658,8995,Indirect relative of
6658,6659,Indirect relative of
6658,6660,Indirect relative of
6659,6656,Indirect relative of
6659,8996,Indirect relative of
6659,1379,Indirect relative of
6659,6658,Indirect relative of
6659,8995,Indirect relative of
6660,8995,Indirect relative of
6660,8996,Indirect relative of
6660,6656,Indirect relative of
6660,1378,Indirect relative of
6660,1379,Indirect relative of
6666,1393,Indirect relative of
6670,7500,Indirect relative of
7500,2810,Indirect relative of
7500,6670,Indirect relative of
7624,1379,Indirect relative of
7624,1378,Indirect relative of
7624,6656,Indirect relative of
7624,8996,Indirect relative of
7624,8995,Indirect relative of
7624,6658,Indirect relative of
8245,1365,Indirect relative of
9241,3525,Indirect relative of
6359,8995,Indirect relative of
6359,8996,Indirect relative of
6359,2412,Indirect relative of
1488,6990,Indirect relative of
1422,7498,Indirect relative of
1426,2041,Indirect relative of
1426,1427,Indirect relative of
1426,1428,Indirect relative of
1427,2041,Indirect relative of
1427,1426,Indirect relative of
1428,1426,Indirect relative of
1428,2041,Indirect relative of
1430,7778,Indirect relative of
2041,1428,Indirect relative of
2041,1426,Indirect relative of
6688,6689,Indirect relative of
7498,1422,Indirect relative of
7778,1430,Indirect relative of
8206,1875,Indirect relative of
9311,9003,Indirect relative of
9311,1873,Indirect relative of
8151,1309,Indirect relative of
8151,6617,Indirect relative of
7801,1309,Indirect relative of
7801,6617,Indirect relative of
1309,8151,Indirect relative of
1455,6700,Indirect relative of
1485,6716,Indirect relative of
3712,3713,Indirect relative of
3714,3713,Indirect relative of
6693,7897,Indirect relative of
6695,2042,Indirect relative of
6698,6699,Indirect relative of
6698,6697,Indirect relative of
6699,7468,Indirect relative of
6699,6698,Indirect relative of
6699,6697,Indirect relative of
6713,6714,Indirect relative of
6716,1485,Indirect relative of
7617,6699,Indirect relative of
7617,6697,Indirect relative of
7897,6693,Indirect relative of
7897,1440,Indirect relative of
8932,1445,Indirect relative of
9185,7682,Indirect relative of
8979,1371,Indirect relative of
1494,6482,Indirect relative of
231,6176,Indirect relative of
6176,231,Indirect relative of
1503,6922,Indirect relative of
1522,1523,Indirect relative of
1522,1524,Indirect relative of
1522,6739,Indirect relative of
1522,6740,Indirect relative of
1523,6439,Indirect relative of
1523,1522,Indirect relative of
1523,6739,Indirect relative of
1600,2220,Indirect relative of
1523,6740,Indirect relative of
1527,8324,Indirect relative of
3743,3742,Indirect relative of
1555,1552,Indirect relative of
3154,3155,Indirect relative of
1979,7906,Indirect relative of
2073,7801,Indirect relative of
2073,8151,Indirect relative of
1393,1395,Indirect relative of
3520,3521,Indirect relative of
3988,3995,Indirect relative of
3995,3988,Indirect relative of
3992,1990,Indirect relative of
1659,2616,Indirect relative of
4097,5052,Indirect relative of
7399,6820,Indirect relative of
1309,7801,Indirect relative of
6617,2073,Indirect relative of
6617,7801,Indirect relative of
6617,8151,Indirect relative of
1445,8932,Indirect relative of
1455,1454,Indirect relative of
1524,1523,Indirect relative of
3272,3821,Indirect relative of
3742,3743,Indirect relative of
3797,3798,Indirect relative of
3810,3811,Indirect relative of
3811,3810,Indirect relative of
6309,7991,Indirect relative of
7906,1979,Indirect relative of
8616,1642,Indirect relative of
8616,1643,Indirect relative of
1018,1990,Indirect relative of
9037,1990,Indirect relative of
1990,3992,Indirect relative of
1990,1018,Indirect relative of
1990,5265,Indirect relative of
6439,1523,Indirect relative of
1075,2218,Indirect relative of
6747,1526,Indirect relative of
6747,6745,Indirect relative of
8324,1527,Indirect relative of
8814,8481,Indirect relative of
8890,1492,Indirect relative of
1544,1546,Indirect relative of
1546,1544,Indirect relative of
1546,1542,Indirect relative of
1555,1553,Indirect relative of
3872,3873,Indirect relative of
3873,3872,Indirect relative of
2135,3298,Indirect relative of
270,4172,Indirect relative of
1234,6579,Indirect relative of
1393,6666,Indirect relative of
1395,6666,Indirect relative of
2810,7500,Indirect relative of
3518,3520,Indirect relative of
3520,3518,Indirect relative of
3520,3519,Indirect relative of
3521,3520,Indirect relative of
3525,9241,Indirect relative of
3525,200,Indirect relative of
2028,3308,Indirect relative of
2905,6811,Indirect relative of
1830,2744,Indirect relative of
7440,1872,Indirect relative of
1719,6834,Indirect relative of
1030,7339,Indirect relative of
1719,6833,Indirect relative of
1738,1739,Indirect relative of
1738,2082,Indirect relative of
1738,8424,Indirect relative of
1361,2900,Indirect relative of
3422,3421,Indirect relative of
6752,1555,Indirect relative of
6843,52,Indirect relative of
6846,1739,Indirect relative of
1758,7743,Indirect relative of
6762,4102,Indirect relative of
3415,1563,Indirect relative of
3989,3904,Indirect relative of
2227,7993,Indirect relative of
2227,7708,Indirect relative of
4231,4232,Indirect relative of
6865,1762,Indirect relative of
6865,1765,Indirect relative of
6865,1768,Indirect relative of
6865,1764,Indirect relative of
7746,2263,Indirect relative of
1648,1649,Indirect relative of
8747,7960,Indirect relative of
7960,8747,Indirect relative of
1056,1054,Indirect relative of
1054,1056,Indirect relative of
8421,1237,Indirect relative of
6200,9006,Indirect relative of
1550,1096,Indirect relative of
1096,1550,Indirect relative of
2880,8752,Indirect relative of
8782,5714,Indirect relative of
6429,1969,Indirect relative of
7008,2567,Indirect relative of
1035,1385,Indirect relative of
1035,1386,Indirect relative of
1035,2899,Indirect relative of
1348,2458,Indirect relative of
7233,5448,Indirect relative of
1718,6833,Indirect relative of
1722,1208,Indirect relative of
6845,7604,Indirect relative of
5229,5983,Indirect relative of
2912,8809,Indirect relative of
7610,8809,Indirect relative of
2158,2184,Indirect relative of
6821,6841,Indirect relative of
5248,5243,Indirect relative of
5243,5248,Indirect relative of
7076,7059,Indirect relative of
7076,7074,Indirect relative of
7075,7074,Indirect relative of
1745,9013,Indirect relative of
7074,7075,Indirect relative of
7074,7076,Indirect relative of
5587,6629,Indirect relative of
7193,2018,Indirect relative of
739,4566,Indirect relative of
8017,740,Indirect relative of
8017,8498,Indirect relative of
5519,6296,Indirect relative of
6602,4743,Indirect relative of
1990,6745,Indirect relative of
1990,5606,Indirect relative of
1647,1273,Indirect relative of
1292,6436,Indirect relative of
8651,1768,Indirect relative of
1158,7455,Indirect relative of
3054,3059,Indirect relative of
6850,9013,Indirect relative of
7708,2227,Indirect relative of
7743,1758,Indirect relative of
7993,2227,Indirect relative of
8651,1764,Indirect relative of
8651,1762,Indirect relative of
8651,1765,Indirect relative of
8651,1761,Indirect relative of
8678,6849,Indirect relative of
8678,9012,Indirect relative of
2921,3150,Indirect relative of
1467,6462,Indirect relative of
1198,7277,Indirect relative of
8172,8142,Indirect relative of
8361,7425,Indirect relative of
4195,4010,Indirect relative of
1233,1234,Indirect relative of
1233,6579,Indirect relative of
1234,1233,Indirect relative of
6436,1292,Indirect relative of
6462,1467,Indirect relative of
9304,270,Indirect relative of
63,2906,Indirect relative of
2906,63,Indirect relative of
346,2248,Indirect relative of
2235,7867,Indirect relative of
2244,8444,Indirect relative of
2248,4312,Indirect relative of
2248,9227,Indirect relative of
2248,346,Indirect relative of
2250,7765,Indirect relative of
2253,2254,Indirect relative of
2254,2253,Indirect relative of
6883,7765,Indirect relative of
6886,7770,Indirect relative of
5565,6732,Indirect relative of
6732,5565,Indirect relative of
6731,5565,Indirect relative of
5565,6731,Indirect relative of
2991,7742,Indirect relative of
3032,3034,Indirect relative of
3034,3032,Indirect relative of
7770,6886,Indirect relative of
9227,2248,Indirect relative of
7826,8989,Indirect relative of
7487,8992,Indirect relative of
3059,3054,Indirect relative of
3766,6059,Indirect relative of
2500,8507,Indirect relative of
8507,2500,Indirect relative of
1361,6645,Indirect relative of
1801,1347,Indirect relative of
1801,6638,Indirect relative of
2098,1355,Indirect relative of
2921,3495,Indirect relative of
2921,3494,Indirect relative of
3428,3429,Indirect relative of
3429,3428,Indirect relative of
3467,3468,Indirect relative of
3468,3467,Indirect relative of
6752,1552,Indirect relative of
6752,1553,Indirect relative of
2279,4372,Indirect relative of
6891,2153,Indirect relative of
6919,6914,Indirect relative of
6919,6915,Indirect relative of
7917,6914,Indirect relative of
7917,6915,Indirect relative of
9103,9126,Indirect relative of
9126,9103,Indirect relative of
9126,9020,Indirect relative of
2572,764,Indirect relative of
6479,7162,Indirect relative of
6479,7611,Indirect relative of
7798,5117,Indirect relative of
2039,2128,Indirect relative of
2275,2233,Indirect relative of
4372,2279,Indirect relative of
